Sun      0.295912208285591100E–03        1.000000        132712440041.939400
         Mercury                          0.491248045036476000E–10       6023682.155592  22031.780000
         Venus                             0.724345233264412000E–09       408523.718658   324858.592000
         Earth                              0.888769244512563400E–09       332946.048834   398600.435436
         Mars                                0.954954869555077000E–10       3098703.590291  42828.375214
         Jupiter                              0.282534584083387000E–06       1047.348625     126712764.800000
         Saturn                                0.845970607324503000E–07       3497.901768     37940585.200000
         Uranus                                 0.129202482578296000E–07       22902.981613    5794548.600000
         Neptune                                 0.152435734788511000E–07       19412.259776    6836527.100580
         Pluto                                    0.217844105197418000E–11       135836683.768617        977.000000
         Moon                                      0.109318945074237400E–10       27068703.241203         4902.800066
